GeneID,importance,Symbol,Description
50640,0.001070680044593,PNPLA8,patatin like phospholipase domain containing 8
9143,0.0010697438254437,SYNGR3,synaptogyrin 3
8649,0.00106953125,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3"
9208,0.0010693301997649,LRRFIP1,LRR binding FLII interacting protein 1
10289,0.0010693301997649,EIF1B,eukaryotic translation initiation factor 1B
60481,0.0010634875959953,ELOVL5,ELOVL fatty acid elongase 5
53346,0.0010631099544567,TM6SF1,transmembrane 6 superfamily member 1
6648,0.0010586701684095,SOD2,superoxide dismutase 2
7852,0.0010568246568246,CXCR4,C-X-C motif chemokine receptor 4
2632,0.00105625,GBE1,"1,4-alpha-glucan branching enzyme 1"
9879,0.00105625,DDX46,DEAD-box helicase 46
1429,0.00105625,CRYZ,crystallin zeta
100506211,0.0010524448524448,MIR210HG,MIR210 host gene
29982,0.0010488294314381,NRBF2,nuclear receptor binding factor 2
308,0.0010488294314381,ANXA5,annexin A5
9770,0.0010488294314381,RASSF2,Ras association domain family member 2
100533975,0.0010488294314381,SLMO2-ATP5E,SLMO2-ATP5E readthrough
132320,0.0010474805194805,SCLT1,sodium channel and clathrin linker 1
100507062,0.0010464396284829,PSMD6-AS2,PSMD6 antisense RNA 2
22828,0.0010464396284829,SCAF8,SR-related CTD associated factor 8
913,0.0010464396284829,CD1E,CD1e molecule
55279,0.0010445878445878,ZNF654,zinc finger protein 654
10210,0.0010445878445878,TOPORS,"TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase"
360200,0.0010405192761605,TMPRSS9,transmembrane serine protease 9
3759,0.0010393606393606,KCNJ2,potassium inwardly rectifying channel subfamily J member 2
81631,0.0010371108042233,MAP1LC3B,microtubule associated protein 1 light chain 3 beta
115253422,0.0010370350140647,DUS4L-BCAP29,DUS4L-BCAP29 readthrough
100506233,0.0010370350140647,RAB30-DT,RAB30 divergent transcript
10730,0.0010364448051948,YME1L1,YME1 like 1 ATPase
5573,0.0010314285714285,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha
57148,0.0010291785319322,RALGAPB,Ral GTPase activating protein non-catalytic subunit beta
7716,0.0010204081632653,VEZF1,vascular endothelial zinc finger 1
10526,0.001018442427138,IPO8,importin 8
831,0.0010161388219037,CAST,calpastatin
23350,0.0010119156866616,U2SURP,U2 snRNP associated SURP domain containing
105378415,0.0010071913869883,LOC105378415,uncharacterized LOC105378415
9874,0.001006993006993,TLK1,tousled like kinase 1
59348,0.0010061114175399,ZNF350,zinc finger protein 350
246184,0.0010061114175399,CDC26,cell division cycle 26
7019,0.0010060411654637,TFAM,"transcription factor A, mitochondrial"
79699,0.0010037735849056,ZYG11B,"zyg-11 family member B, cell cycle regulator"
3156,0.0010037735849056,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase
286451,0.0010024057738572,YIPF6,Yip1 domain family member 6
8743,0.0009974226545655,TNFSF10,TNF superfamily member 10
24138,0.0009969831410825,IFIT5,interferon induced protein with tetratricopeptide repeats 5
27332,0.0009872913464244,ZNF638,zinc finger protein 638
6103,0.0009860231660231,RPGR,retinitis pigmentosa GTPase regulator
10313,0.0009835294117647,RTN3,reticulon 3
767558,0.0009834775767112,LUZP6,leucine zipper protein 6
7746,0.0009834646958392,ZSCAN9,zinc finger and SCAN domain containing 9
100887750,0.0009796359624931,MRPS31P5,mitochondrial ribosomal protein S31 pseudogene 5
4277,0.0009784585138052,MICB,MHC class I polypeptide-related sequence B
